complaint_id,timestamp,customer_id,channel,complaint_text,category,priority,supplier_id,product_category,region,order_id,complaint_text_normalized,complaint_text_no_stopwords,category_encoded
CMP-000013,2024-01-08 07:27:17,CUST-2080,social,Billing discrepancy on order ORD-377932. The unit price for potatoes doesn't match our contract.,Pricing Error,medium,SUP-8698,lettuce,Asia,ORD-377932,billing discrepancy on order ord377932 the unit price for potatoes doesnt match our contract,billing discrepancy order ord377932 unit price potatoes doesnt match contract,5
CMP-000014,2024-01-08 22:04:34,CUST-1131,web,My order #ORD-335612 was supposed to arrive on 2025-11-01 but it's now 10 days late. This is unacceptable for perishable goods.,Delivery Delay,medium,SUP-12042,avocados,Asia,ORD-335612,my order ord335612 was supposed to arrive on 20251101 but its now 10 days late this is unacceptable for perishable goods,order ord335612 supposed arrive 20251101 10 days late unacceptable perishable goods,1
CMP-000015,2024-01-09 12:41:50,CUST-1487,web,Order ORD-639131 missing items. Expected 395 but received only 80 bananas.,Missing Items,low,SUP-8334,bananas,Asia,ORD-639131,order ord639131 missing items expected 395 but received only 80 bananas,order ord639131 missing items expected 395 received 80 bananas,3
CMP-000016,2024-01-10 03:19:07,CUST-2349,social,Received only partial order ORD-201639. Where are the remaining 8 spinach?,Missing Items,medium,SUP-7779,peaches,Asia,ORD-201639,received only partial order ord201639 where are the remaining 8 spinach,received partial order ord201639 remaining 8 spinach,3
CMP-000017,2024-01-10 17:56:23,CUST-1392,app,Critical delay on order ORD-360735. The kale were time-sensitive and now may be unusable.,Delivery Delay,high,SUP-12012,potatoes,Asia,ORD-360735,critical delay on order ord360735 the kale were timesensitive and now may be unusable,critical delay order ord360735 kale timesensitive may unusable,1
CMP-000018,2024-01-11 08:33:40,CUST-2335,email,Delivery driver for order ORD-153045 was extremely rude and unprofessional.,Service Complaint,high,SUP-8104,organic apples,Europe,ORD-153045,delivery driver for order ord153045 was extremely rude and unprofessional,delivery driver order ord153045 extremely rude unprofessional,7
CMP-000019,2024-01-11 23:10:56,CUST-2897,social,Quality issue with order ORD-378085. The spinach show signs of improper handling during transport.,Damaged Goods,low,SUP-9744,cantaloupe,North America,ORD-378085,quality issue with order ord378085 the spinach show signs of improper handling during transport,quality issue order ord378085 spinach show signs improper handling transport,0
CMP-000020,2024-01-12 13:48:12,CUST-2531,web,Order ORD-163918 is incomplete. Missing 38 units of fresh strawberries.,Missing Items,medium,SUP-5561,garlic,Asia,ORD-163918,order ord163918 is incomplete missing 38 units of fresh strawberries,order ord163918 incomplete missing 38 units fresh strawberries,3
CMP-000021,2024-01-13 04:25:29,CUST-2765,app,Shipment ORD-808011 stuck in transit for 11 days. This is causing major disruptions to our supply chain.,Delivery Delay,medium,SUP-9630,carrots,Europe,ORD-808011,shipment ord808011 stuck in transit for 11 days this is causing major disruptions to our supply chain,shipment ord808011 stuck transit 11 days causing major disruptions supply chain,1
CMP-000022,2024-01-13 19:02:45,CUST-1418,web,"Delivery delay for shipment ORD-373432. Expected 2025-11-01, still not received. Our customers are waiting.",Delivery Delay,high,SUP-5076,kale,North America,ORD-373432,delivery delay for shipment ord373432 expected 20251101 still not received our customers are waiting,delivery delay shipment ord373432 expected 20251101 still received customers waiting,1
CMP-000023,2024-01-14 09:40:02,CUST-1204,email,"Order ORD-690341 completely ruined. bananas arrived in terrible condition, cannot be sold.",Damaged Goods,high,SUP-11830,potatoes,North America,ORD-690341,order ord690341 completely ruined bananas arrived in terrible condition cannot be sold,order ord690341 completely ruined bananas arrived terrible condition cannot sold,0
CMP-000024,2024-01-15 00:17:18,CUST-2252,email,"Order ORD-417212 completely ruined. mangoes arrived in terrible condition, cannot be sold.",Damaged Goods,high,SUP-7231,mangoes,North America,ORD-417212,order ord417212 completely ruined mangoes arrived in terrible condition cannot be sold,order ord417212 completely ruined mangoes arrived terrible condition cannot sold,0
CMP-000025,2024-01-15 14:54:35,CUST-2469,web,Shipment ORD-320861 short by 36 items. Packing list doesn't match actual delivery.,Missing Items,medium,SUP-7266,fresh strawberries,Asia,ORD-320861,shipment ord320861 short by 36 items packing list doesnt match actual delivery,shipment ord320861 short 36 items packing list doesnt match actual delivery,3
CMP-000026,2024-01-16 05:31:51,CUST-2579,app,Customer service rep was very unprofessional when I called about order ORD-449759.,Service Complaint,medium,SUP-12404,bell peppers,North America,ORD-449759,customer service rep was very unprofessional when i called about order ord449759,customer service rep unprofessional called order ord449759,7
CMP-000027,2024-01-16 20:09:08,CUST-2709,web,Service quality is deteriorating. Multiple issues with order ORD-137778 and no one seems to care.,Service Complaint,high,SUP-10587,oranges,North America,ORD-137778,service quality is deteriorating multiple issues with order ord137778 and no one seems to care,service quality deteriorating multiple issues order ord137778 one seems care,7
CMP-000028,2024-01-17 10:46:24,CUST-1724,social,Incomplete delivery for ORD-207786. 15 cases of cantaloupe are missing from the shipment.,Missing Items,high,SUP-11409,spinach,North America,ORD-207786,incomplete delivery for ord207786 15 cases of cantaloupe are missing from the shipment,incomplete delivery ord207786 15 cases cantaloupe missing shipment,3
CMP-000029,2024-01-18 01:23:41,CUST-2660,app,Order ORD-870763 is severely delayed. We needed these cucumbers by 2025-10-29 for our retail operations.,Delivery Delay,low,SUP-7864,mangoes,Asia,ORD-870763,order ord870763 is severely delayed we needed these cucumbers by 20251029 for our retail operations,order ord870763 severely delayed needed cucumbers 20251029 retail operations,1
CMP-000030,2024-01-18 16:00:57,CUST-1048,app,Shipment ORD-333752 stuck in transit for 6 days. This is causing major disruptions to our supply chain.,Delivery Delay,medium,SUP-9392,avocados,Asia,ORD-333752,shipment ord333752 stuck in transit for 6 days this is causing major disruptions to our supply chain,shipment ord333752 stuck transit 6 days causing major disruptions supply chain,1
CMP-000031,2024-01-19 06:38:14,CUST-2796,web,Shipment ORD-220944 arrived with crushed boxes. Multiple onions units are unsellable.,Damaged Goods,medium,SUP-5947,raspberries,North America,ORD-220944,shipment ord220944 arrived with crushed boxes multiple onions units are unsellable,shipment ord220944 arrived crushed boxes multiple onions units unsellable,0
CMP-000032,2024-01-19 21:15:30,CUST-1521,email,"Freshness issue with order ORD-299312. organic apples appear to be several days old, not fresh picked.",Quality Issues,high,SUP-12542,avocados,North America,ORD-299312,freshness issue with order ord299312 organic apples appear to be several days old not fresh picked,freshness issue order ord299312 organic apples appear several days old fresh picked,6
CMP-000033,2024-01-20 11:52:47,CUST-2358,email,Quality issue with order ORD-429164. The carrots show signs of improper handling during transport.,Damaged Goods,high,SUP-12703,raspberries,North America,ORD-429164,quality issue with order ord429164 the carrots show signs of improper handling during transport,quality issue order ord429164 carrots show signs improper handling transport,0
CMP-000034,2024-01-21 02:30:03,CUST-2848,app,Critical delay on order ORD-884475. The onions were time-sensitive and now may be unusable.,Delivery Delay,high,SUP-9969,lemons,Europe,ORD-884475,critical delay on order ord884475 the onions were timesensitive and now may be unusable,critical delay order ord884475 onions timesensitive may unusable,1
CMP-000035,2024-01-21 17:07:20,CUST-1904,social,"Delivery delay for shipment ORD-587575. Expected 2025-10-26, still not received. Our customers are waiting.",Delivery Delay,critical,SUP-6924,limes,Europe,ORD-587575,delivery delay for shipment ord587575 expected 20251026 still not received our customers are waiting,delivery delay shipment ord587575 expected 20251026 still received customers waiting,1
CMP-000036,2024-01-22 07:44:36,CUST-2651,app,Customer service is unresponsive. Order ORD-335552 has issues but nobody is getting back to me.,Poor Communication,low,SUP-9715,bananas,North America,ORD-335552,customer service is unresponsive order ord335552 has issues but nobody is getting back to me,customer service unresponsive order ord335552 issues nobody getting back,4
CMP-000037,2024-01-22 22:21:53,CUST-1786,social,Shipment ORD-830180 stuck in transit for 4 days. This is causing major disruptions to our supply chain.,Delivery Delay,high,SUP-9243,kale,Asia,ORD-830180,shipment ord830180 stuck in transit for 4 days this is causing major disruptions to our supply chain,shipment ord830180 stuck transit 4 days causing major disruptions supply chain,1
CMP-000038,2024-01-23 12:59:09,CUST-1510,email,Been waiting 9 days for update on order ORD-684482. This lack of communication is unprofessional.,Poor Communication,medium,SUP-10018,pears,North America,ORD-684482,been waiting 9 days for update on order ord684482 this lack of communication is unprofessional,waiting 9 days update order ord684482 lack communication unprofessional,4
CMP-000039,2024-01-24 03:36:25,CUST-1873,social,Customer service is unresponsive. Order ORD-629298 has issues but nobody is getting back to me.,Poor Communication,low,SUP-7249,kale,Asia,ORD-629298,customer service is unresponsive order ord629298 has issues but nobody is getting back to me,customer service unresponsive order ord629298 issues nobody getting back,4
CMP-000040,2024-01-24 18:13:42,CUST-1585,app,Quality issue with order ORD-848206. The avocados show signs of improper handling during transport.,Damaged Goods,medium,SUP-6752,tomatoes,Europe,ORD-848206,quality issue with order ord848206 the avocados show signs of improper handling during transport,quality issue order ord848206 avocados show signs improper handling transport,0
CMP-000041,2024-01-25 08:50:58,CUST-1677,social,"Freshness issue with order ORD-527398. fresh strawberries appear to be several days old, not fresh picked.",Quality Issues,high,SUP-7446,pineapples,Europe,ORD-527398,freshness issue with order ord527398 fresh strawberries appear to be several days old not fresh picked,freshness issue order ord527398 fresh strawberries appear several days old fresh picked,6
CMP-000042,2024-01-25 23:28:15,CUST-2826,social,"Order ORD-994905 completely ruined. cantaloupe arrived in terrible condition, cannot be sold.",Damaged Goods,low,SUP-5237,raspberries,Europe,ORD-994905,order ord994905 completely ruined cantaloupe arrived in terrible condition cannot be sold,order ord994905 completely ruined cantaloupe arrived terrible condition cannot sold,0
CMP-000043,2024-01-26 14:05:31,CUST-2390,social,Shipment ORD-801364 arrived with crushed boxes. Multiple pears units are unsellable.,Damaged Goods,medium,SUP-6111,cherries,Europe,ORD-801364,shipment ord801364 arrived with crushed boxes multiple pears units are unsellable,shipment ord801364 arrived crushed boxes multiple pears units unsellable,0
CMP-000044,2024-01-27 04:42:48,CUST-1102,web,Been waiting 9 days for update on order ORD-290556. This lack of communication is unprofessional.,Poor Communication,medium,SUP-8453,grapes,Asia,ORD-290556,been waiting 9 days for update on order ord290556 this lack of communication is unprofessional,waiting 9 days update order ord290556 lack communication unprofessional,4
CMP-000045,2024-01-27 19:20:04,CUST-1039,email,Documentation error on order ORD-593152. Invoice doesn't match packing list.,Documentation Error,medium,SUP-11874,organic apples,North America,ORD-593152,documentation error on order ord593152 invoice doesnt match packing list,documentation error order ord593152 invoice doesnt match packing list,2
CMP-000046,2024-01-28 09:57:21,CUST-1488,app,Shipment ORD-259784 stuck in transit for 3 days. This is causing major disruptions to our supply chain.,Delivery Delay,high,SUP-12894,cantaloupe,North America,ORD-259784,shipment ord259784 stuck in transit for 3 days this is causing major disruptions to our supply chain,shipment ord259784 stuck transit 3 days causing major disruptions supply chain,1
CMP-000047,2024-01-29 00:34:37,CUST-2592,app,"Terrible communication regarding shipment ORD-220096. No tracking updates, no responses to calls.",Poor Communication,medium,SUP-6624,tomatoes,North America,ORD-220096,terrible communication regarding shipment ord220096 no tracking updates no responses to calls,terrible communication regarding shipment ord220096 tracking updates responses calls,4
CMP-000048,2024-01-29 15:11:54,CUST-2701,app,No response to my emails about order ORD-824161. I've been trying to reach support for 6 days.,Poor Communication,low,SUP-10419,blueberries,Asia,ORD-824161,no response to my emails about order ord824161 ive been trying to reach support for 6 days,response emails order ord824161 ive trying reach support 6 days,4
CMP-000049,2024-01-30 05:49:10,CUST-2326,web,Invoice ORD-630538 shows incorrect pricing. We were quoted $4266 but charged $5899.,Pricing Error,medium,SUP-6442,cantaloupe,North America,ORD-630538,invoice ord630538 shows incorrect pricing we were quoted 4266 but charged 5899,invoice ord630538 shows incorrect pricing quoted 4266 charged 5899,5
CMP-000050,2024-01-30 20:26:27,CUST-1553,social,Shipment ORD-782054 stuck in transit for 13 days. This is causing major disruptions to our supply chain.,Delivery Delay,low,SUP-9668,garlic,North America,ORD-782054,shipment ord782054 stuck in transit for 13 days this is causing major disruptions to our supply chain,shipment ord782054 stuck transit 13 days causing major disruptions supply chain,1
CMP-000051,2024-01-31 11:03:43,CUST-1688,email,Shipment ORD-497399 stuck in transit for 7 days. This is causing major disruptions to our supply chain.,Delivery Delay,medium,SUP-10744,asparagus,Europe,ORD-497399,shipment ord497399 stuck in transit for 7 days this is causing major disruptions to our supply chain,shipment ord497399 stuck transit 7 days causing major disruptions supply chain,1
CMP-000052,2024-02-01 01:41:00,CUST-1020,app,Received order ORD-682789 with 51% of oranges damaged. Packaging was inadequate.,Damaged Goods,high,SUP-8671,peaches,Asia,ORD-682789,received order ord682789 with 51 of oranges damaged packaging was inadequate,received order ord682789 51 oranges damaged packaging inadequate,0
CMP-000053,2024-02-01 16:18:16,CUST-1602,app,Order ORD-197573 missing required quality certificates. Need these urgently for compliance.,Documentation Error,low,SUP-9508,avocados,Europe,ORD-197573,order ord197573 missing required quality certificates need these urgently for compliance,order ord197573 missing required quality certificates need urgently compliance,2
CMP-000054,2024-02-02 06:55:33,CUST-1929,web,Overcharged on shipment ORD-836996. Please review and issue credit for $2348.,Pricing Error,medium,SUP-6516,bananas,Asia,ORD-836996,overcharged on shipment ord836996 please review and issue credit for 2348,overcharged shipment ord836996 please review issue credit 2348,5
CMP-000055,2024-02-02 21:32:49,CUST-1991,web,"Order ORD-874483 completely ruined. pineapples arrived in terrible condition, cannot be sold.",Damaged Goods,low,SUP-10800,potatoes,Asia,ORD-874483,order ord874483 completely ruined pineapples arrived in terrible condition cannot be sold,order ord874483 completely ruined pineapples arrived terrible condition cannot sold,0
CMP-000056,2024-02-03 12:10:06,CUST-1093,email,"Order ORD-387636 completely ruined. mangoes arrived in terrible condition, cannot be sold.",Damaged Goods,medium,SUP-7791,cucumbers,Asia,ORD-387636,order ord387636 completely ruined mangoes arrived in terrible condition cannot be sold,order ord387636 completely ruined mangoes arrived terrible condition cannot sold,0
CMP-000057,2024-02-04 02:47:22,CUST-2927,social,Delivery driver for order ORD-364742 was extremely rude and unprofessional.,Service Complaint,high,SUP-9610,mangoes,Asia,ORD-364742,delivery driver for order ord364742 was extremely rude and unprofessional,delivery driver order ord364742 extremely rude unprofessional,7
CMP-000058,2024-02-04 17:24:38,CUST-1242,social,Incomplete delivery for ORD-360247. 38 cases of garlic are missing from the shipment.,Missing Items,high,SUP-8512,mangoes,North America,ORD-360247,incomplete delivery for ord360247 38 cases of garlic are missing from the shipment,incomplete delivery ord360247 38 cases garlic missing shipment,3
CMP-000059,2024-02-05 08:01:55,CUST-1123,email,Order ORD-751194 contains lemons that are already showing signs of spoilage upon arrival.,Quality Issues,medium,SUP-5021,spinach,Europe,ORD-751194,order ord751194 contains lemons that are already showing signs of spoilage upon arrival,order ord751194 contains lemons already showing signs spoilage upon arrival,6
CMP-000060,2024-02-05 22:39:11,CUST-2216,social,Documentation error on order ORD-822858. Invoice doesn't match packing list.,Documentation Error,medium,SUP-11453,peaches,North America,ORD-822858,documentation error on order ord822858 invoice doesnt match packing list,documentation error order ord822858 invoice doesnt match packing list,2
CMP-000061,2024-02-06 13:16:28,CUST-2354,app,"Freshness issue with order ORD-718439. lettuce appear to be several days old, not fresh picked.",Quality Issues,critical,SUP-7519,garlic,North America,ORD-718439,freshness issue with order ord718439 lettuce appear to be several days old not fresh picked,freshness issue order ord718439 lettuce appear several days old fresh picked,6
CMP-000062,2024-02-07 03:53:44,CUST-2165,web,"Damaged goods in shipment ORD-964278. Temperature control appears to have failed, lettuce are spoiled.",Damaged Goods,medium,SUP-9899,fresh strawberries,Europe,ORD-964278,damaged goods in shipment ord964278 temperature control appears to have failed lettuce are spoiled,damaged goods shipment ord964278 temperature control appears failed lettuce spoiled,0
CMP-000063,2024-02-07 18:31:01,CUST-1660,web,Received order ORD-870214 with 68% of tomatoes damaged. Packaging was inadequate.,Damaged Goods,high,SUP-8854,carrots,North America,ORD-870214,received order ord870214 with 68 of tomatoes damaged packaging was inadequate,received order ord870214 68 tomatoes damaged packaging inadequate,0
CMP-000064,2024-02-08 09:08:17,CUST-2876,web,Order ORD-563711 contains onions that are already showing signs of spoilage upon arrival.,Quality Issues,critical,SUP-12026,cucumbers,Europe,ORD-563711,order ord563711 contains onions that are already showing signs of spoilage upon arrival,order ord563711 contains onions already showing signs spoilage upon arrival,6
CMP-000065,2024-02-08 23:45:34,CUST-2420,social,Order ORD-531641 is severely delayed. We needed these limes by 2025-10-26 for our retail operations.,Delivery Delay,medium,SUP-8311,cherries,North America,ORD-531641,order ord531641 is severely delayed we needed these limes by 20251026 for our retail operations,order ord531641 severely delayed needed limes 20251026 retail operations,1
CMP-000066,2024-02-09 14:22:50,CUST-1002,social,Pricing error detected. Order ORD-964998 billed at $5785 instead of agreed $4121.,Pricing Error,low,SUP-7187,potatoes,Asia,ORD-964998,pricing error detected order ord964998 billed at 5785 instead of agreed 4121,pricing error detected order ord964998 billed 5785 instead agreed 4121,5
CMP-000067,2024-02-10 05:00:07,CUST-1897,social,My order #ORD-402020 was supposed to arrive on 2025-11-01 but it's now 12 days late. This is unacceptable for perishable goods.,Delivery Delay,medium,SUP-6840,pears,Asia,ORD-402020,my order ord402020 was supposed to arrive on 20251101 but its now 12 days late this is unacceptable for perishable goods,order ord402020 supposed arrive 20251101 12 days late unacceptable perishable goods,1
CMP-000068,2024-02-10 19:37:23,CUST-2939,email,Poor service experience with shipment ORD-583863. Staff was unhelpful and dismissive.,Service Complaint,low,SUP-8741,potatoes,Asia,ORD-583863,poor service experience with shipment ord583863 staff was unhelpful and dismissive,poor service experience shipment ord583863 staff unhelpful dismissive,7
CMP-000069,2024-02-11 10:14:40,CUST-1390,app,Invoice ORD-502219 shows incorrect pricing. We were quoted $2817 but charged $3916.,Pricing Error,medium,SUP-9808,onions,North America,ORD-502219,invoice ord502219 shows incorrect pricing we were quoted 2817 but charged 3916,invoice ord502219 shows incorrect pricing quoted 2817 charged 3916,5
CMP-000070,2024-02-12 00:51:56,CUST-2772,app,"Damaged goods in shipment ORD-613425. Temperature control appears to have failed, potatoes are spoiled.",Damaged Goods,critical,SUP-12123,bananas,North America,ORD-613425,damaged goods in shipment ord613425 temperature control appears to have failed potatoes are spoiled,damaged goods shipment ord613425 temperature control appears failed potatoes spoiled,0
CMP-000071,2024-02-12 15:29:13,CUST-2171,social,Poor service experience with shipment ORD-350405. Staff was unhelpful and dismissive.,Service Complaint,low,SUP-11491,pears,North America,ORD-350405,poor service experience with shipment ord350405 staff was unhelpful and dismissive,poor service experience shipment ord350405 staff unhelpful dismissive,7
CMP-000072,2024-02-13 06:06:29,CUST-2014,email,Billing discrepancy on order ORD-259493. The unit price for carrots doesn't match our contract.,Pricing Error,medium,SUP-10918,bell peppers,Europe,ORD-259493,billing discrepancy on order ord259493 the unit price for carrots doesnt match our contract,billing discrepancy order ord259493 unit price carrots doesnt match contract,5
CMP-000073,2024-02-13 20:43:46,CUST-2986,app,Received order ORD-786587 with 41% of broccoli damaged. Packaging was inadequate.,Damaged Goods,low,SUP-10524,cherries,North America,ORD-786587,received order ord786587 with 41 of broccoli damaged packaging was inadequate,received order ord786587 41 broccoli damaged packaging inadequate,0
CMP-000074,2024-02-14 11:21:02,CUST-2954,web,Order ORD-498468 missing items. Expected 220 but received only 90 cherries.,Missing Items,medium,SUP-5740,spinach,Asia,ORD-498468,order ord498468 missing items expected 220 but received only 90 cherries,order ord498468 missing items expected 220 received 90 cherries,3
CMP-000075,2024-02-15 01:58:18,CUST-2297,email,Shipment ORD-897305 stuck in transit for 13 days. This is causing major disruptions to our supply chain.,Delivery Delay,medium,SUP-8528,bell peppers,Asia,ORD-897305,shipment ord897305 stuck in transit for 13 days this is causing major disruptions to our supply chain,shipment ord897305 stuck transit 13 days causing major disruptions supply chain,1
CMP-000076,2024-02-15 16:35:35,CUST-1843,app,Paperwork for shipment ORD-656968 has wrong product codes. This is delaying our processing.,Documentation Error,low,SUP-7080,kale,Europe,ORD-656968,paperwork for shipment ord656968 has wrong product codes this is delaying our processing,paperwork shipment ord656968 wrong product codes delaying processing,2
CMP-000077,2024-02-16 07:12:51,CUST-1019,social,Order ORD-799233 is severely delayed. We needed these limes by 2025-10-29 for our retail operations.,Delivery Delay,medium,SUP-10655,grapes,Europe,ORD-799233,order ord799233 is severely delayed we needed these limes by 20251029 for our retail operations,order ord799233 severely delayed needed limes 20251029 retail operations,1
CMP-000078,2024-02-16 21:50:08,CUST-1618,app,Unacceptable behavior from your team handling order ORD-986365. Need to speak with a manager.,Service Complaint,low,SUP-5179,pears,North America,ORD-986365,unacceptable behavior from your team handling order ord986365 need to speak with a manager,unacceptable behavior team handling order ord986365 need speak manager,7
CMP-000079,2024-02-17 12:27:24,CUST-1562,email,Incomplete delivery for ORD-515032. 43 cases of cherries are missing from the shipment.,Missing Items,high,SUP-9973,peaches,Europe,ORD-515032,incomplete delivery for ord515032 43 cases of cherries are missing from the shipment,incomplete delivery ord515032 43 cases cherries missing shipment,3
CMP-000080,2024-02-18 03:04:41,CUST-2303,app,"Order ORD-329642 completely ruined. grapes arrived in terrible condition, cannot be sold.",Damaged Goods,high,SUP-5273,onions,Europe,ORD-329642,order ord329642 completely ruined grapes arrived in terrible condition cannot be sold,order ord329642 completely ruined grapes arrived terrible condition cannot sold,0
CMP-000081,2024-02-18 17:41:57,CUST-1269,email,Quality issue with order ORD-867934. The avocados show signs of improper handling during transport.,Damaged Goods,high,SUP-11803,cucumbers,Europe,ORD-867934,quality issue with order ord867934 the avocados show signs of improper handling during transport,quality issue order ord867934 avocados show signs improper handling transport,0
CMP-000082,2024-02-19 08:19:14,CUST-2933,social,Received only partial order ORD-964749. Where are the remaining 9 cantaloupe?,Missing Items,medium,SUP-10524,raspberries,North America,ORD-964749,received only partial order ord964749 where are the remaining 9 cantaloupe,received partial order ord964749 remaining 9 cantaloupe,3
CMP-000083,2024-02-19 22:56:30,CUST-1184,social,My order #ORD-483542 was supposed to arrive on 2025-10-26 but it's now 10 days late. This is unacceptable for perishable goods.,Delivery Delay,high,SUP-10230,blueberries,Asia,ORD-483542,my order ord483542 was supposed to arrive on 20251026 but its now 10 days late this is unacceptable for perishable goods,order ord483542 supposed arrive 20251026 10 days late unacceptable perishable goods,1
CMP-000084,2024-02-20 13:33:47,CUST-1478,social,Received order ORD-807617 with 78% of garlic damaged. Packaging was inadequate.,Damaged Goods,medium,SUP-12449,watermelons,Europe,ORD-807617,received order ord807617 with 78 of garlic damaged packaging was inadequate,received order ord807617 78 garlic damaged packaging inadequate,0
CMP-000085,2024-02-21 04:11:03,CUST-1836,email,"Delivery delay for shipment ORD-780776. Expected 2025-10-29, still not received. Our customers are waiting.",Delivery Delay,medium,SUP-8039,limes,North America,ORD-780776,delivery delay for shipment ord780776 expected 20251029 still not received our customers are waiting,delivery delay shipment ord780776 expected 20251029 still received customers waiting,1
CMP-000086,2024-02-21 18:48:20,CUST-2937,social,Incomplete delivery for ORD-830316. 31 cases of cantaloupe are missing from the shipment.,Missing Items,low,SUP-5268,watermelons,Europe,ORD-830316,incomplete delivery for ord830316 31 cases of cantaloupe are missing from the shipment,incomplete delivery ord830316 31 cases cantaloupe missing shipment,3
CMP-000087,2024-02-22 09:25:36,CUST-1908,social,Billing discrepancy on order ORD-327823. The unit price for cherries doesn't match our contract.,Pricing Error,low,SUP-6554,lettuce,Europe,ORD-327823,billing discrepancy on order ord327823 the unit price for cherries doesnt match our contract,billing discrepancy order ord327823 unit price cherries doesnt match contract,5
CMP-000088,2024-02-23 00:02:53,CUST-2357,app,Incomplete delivery for ORD-196126. 13 cases of organic apples are missing from the shipment.,Missing Items,medium,SUP-6697,onions,Asia,ORD-196126,incomplete delivery for ord196126 13 cases of organic apples are missing from the shipment,incomplete delivery ord196126 13 cases organic apples missing shipment,3
CMP-000089,2024-02-23 14:40:09,CUST-2781,app,Received only partial order ORD-952547. Where are the remaining 14 pineapples?,Missing Items,medium,SUP-10415,cherries,Asia,ORD-952547,received only partial order ord952547 where are the remaining 14 pineapples,received partial order ord952547 remaining 14 pineapples,3
