complaint_id,timestamp,customer_id,channel,complaint_text,category,priority,supplier_id,product_category,region,order_id
CMP-000011,2024-01-07 02:12:44,CUST-1611,app,Shipment ORD-755674 short by 38 items. Packing list doesn't match actual delivery.,Missing Items,low,SUP-12611,blueberries,Europe,ORD-755674
CMP-000012,2024-01-07 16:50:01,CUST-1118,app,"Order ORD-351083 completely ruined. tomatoes arrived in terrible condition, cannot be sold.",Damaged Goods,medium,SUP-12756,potatoes,Asia,ORD-351083
CMP-000013,2024-01-08 07:27:17,CUST-2080,social,Billing discrepancy on order ORD-377932. The unit price for potatoes doesn't match our contract.,Pricing Error,medium,SUP-8698,lettuce,Asia,ORD-377932
CMP-000014,2024-01-08 22:04:34,CUST-1131,web,My order #ORD-335612 was supposed to arrive on 2025-11-01 but it's now 10 days late. This is unacceptable for perishable goods.,Delivery Delay,medium,SUP-12042,avocados,Asia,ORD-335612
CMP-000015,2024-01-09 12:41:50,CUST-1487,web,Order ORD-639131 missing items. Expected 395 but received only 80 bananas.,Missing Items,low,SUP-8334,bananas,Asia,ORD-639131
CMP-000016,2024-01-10 03:19:07,CUST-2349,social,Received only partial order ORD-201639. Where are the remaining 8 spinach?,Missing Items,medium,SUP-7779,peaches,Asia,ORD-201639
CMP-000017,2024-01-10 17:56:23,CUST-1392,app,Critical delay on order ORD-360735. The kale were time-sensitive and now may be unusable.,Delivery Delay,high,SUP-12012,potatoes,Asia,ORD-360735
CMP-000018,2024-01-11 08:33:40,CUST-2335,email,Delivery driver for order ORD-153045 was extremely rude and unprofessional.,Service Complaint,high,SUP-8104,organic apples,Europe,ORD-153045
CMP-000019,2024-01-11 23:10:56,CUST-2897,social,Quality issue with order ORD-378085. The spinach show signs of improper handling during transport.,Damaged Goods,low,SUP-9744,cantaloupe,North America,ORD-378085
CMP-000020,2024-01-12 13:48:12,CUST-2531,web,Order ORD-163918 is incomplete. Missing 38 units of fresh strawberries.,Missing Items,medium,SUP-5561,garlic,Asia,ORD-163918
CMP-000021,2024-01-13 04:25:29,CUST-2765,app,Shipment ORD-808011 stuck in transit for 11 days. This is causing major disruptions to our supply chain.,Delivery Delay,medium,SUP-9630,carrots,Europe,ORD-808011
CMP-000022,2024-01-13 19:02:45,CUST-1418,web,"Delivery delay for shipment ORD-373432. Expected 2025-11-01, still not received. Our customers are waiting.",Delivery Delay,high,SUP-5076,kale,North America,ORD-373432
CMP-000023,2024-01-14 09:40:02,CUST-1204,email,"Order ORD-690341 completely ruined. bananas arrived in terrible condition, cannot be sold.",Damaged Goods,high,SUP-11830,potatoes,North America,ORD-690341
CMP-000024,2024-01-15 00:17:18,CUST-2252,email,"Order ORD-417212 completely ruined. mangoes arrived in terrible condition, cannot be sold.",Damaged Goods,high,SUP-7231,mangoes,North America,ORD-417212
CMP-000025,2024-01-15 14:54:35,CUST-2469,web,Shipment ORD-320861 short by 36 items. Packing list doesn't match actual delivery.,Missing Items,medium,SUP-7266,fresh strawberries,Asia,ORD-320861
CMP-000026,2024-01-16 05:31:51,CUST-2579,app,Customer service rep was very unprofessional when I called about order ORD-449759.,Service Complaint,medium,SUP-12404,bell peppers,North America,ORD-449759
CMP-000027,2024-01-16 20:09:08,CUST-2709,web,Service quality is deteriorating. Multiple issues with order ORD-137778 and no one seems to care.,Service Complaint,high,SUP-10587,oranges,North America,ORD-137778
CMP-000028,2024-01-17 10:46:24,CUST-1724,social,Incomplete delivery for ORD-207786. 15 cases of cantaloupe are missing from the shipment.,Missing Items,high,SUP-11409,spinach,North America,ORD-207786
CMP-000029,2024-01-18 01:23:41,CUST-2660,app,Order ORD-870763 is severely delayed. We needed these cucumbers by 2025-10-29 for our retail operations.,Delivery Delay,low,SUP-7864,mangoes,Asia,ORD-870763
CMP-000030,2024-01-18 16:00:57,CUST-1048,app,Shipment ORD-333752 stuck in transit for 6 days. This is causing major disruptions to our supply chain.,Delivery Delay,medium,SUP-9392,avocados,Asia,ORD-333752
CMP-000031,2024-01-19 06:38:14,CUST-2796,web,Shipment ORD-220944 arrived with crushed boxes. Multiple onions units are unsellable.,Damaged Goods,medium,SUP-5947,raspberries,North America,ORD-220944
CMP-000032,2024-01-19 21:15:30,CUST-1521,email,"Freshness issue with order ORD-299312. organic apples appear to be several days old, not fresh picked.",Quality Issues,high,SUP-12542,avocados,North America,ORD-299312
CMP-000033,2024-01-20 11:52:47,CUST-2358,email,Quality issue with order ORD-429164. The carrots show signs of improper handling during transport.,Damaged Goods,high,SUP-12703,raspberries,North America,ORD-429164
CMP-000034,2024-01-21 02:30:03,CUST-2848,app,Critical delay on order ORD-884475. The onions were time-sensitive and now may be unusable.,Delivery Delay,high,SUP-9969,lemons,Europe,ORD-884475
CMP-000035,2024-01-21 17:07:20,CUST-1904,social,"Delivery delay for shipment ORD-587575. Expected 2025-10-26, still not received. Our customers are waiting.",Delivery Delay,critical,SUP-6924,limes,Europe,ORD-587575
CMP-000036,2024-01-22 07:44:36,CUST-2651,app,Customer service is unresponsive. Order ORD-335552 has issues but nobody is getting back to me.,Poor Communication,low,SUP-9715,bananas,North America,ORD-335552
CMP-000037,2024-01-22 22:21:53,CUST-1786,social,Shipment ORD-830180 stuck in transit for 4 days. This is causing major disruptions to our supply chain.,Delivery Delay,high,SUP-9243,kale,Asia,ORD-830180
CMP-000038,2024-01-23 12:59:09,CUST-1510,email,Been waiting 9 days for update on order ORD-684482. This lack of communication is unprofessional.,Poor Communication,medium,SUP-10018,pears,North America,ORD-684482
CMP-000039,2024-01-24 03:36:25,CUST-1873,social,Customer service is unresponsive. Order ORD-629298 has issues but nobody is getting back to me.,Poor Communication,low,SUP-7249,kale,Asia,ORD-629298
CMP-000040,2024-01-24 18:13:42,CUST-1585,app,Quality issue with order ORD-848206. The avocados show signs of improper handling during transport.,Damaged Goods,medium,SUP-6752,tomatoes,Europe,ORD-848206
CMP-000041,2024-01-25 08:50:58,CUST-1677,social,"Freshness issue with order ORD-527398. fresh strawberries appear to be several days old, not fresh picked.",Quality Issues,high,SUP-7446,pineapples,Europe,ORD-527398
CMP-000042,2024-01-25 23:28:15,CUST-2826,social,"Order ORD-994905 completely ruined. cantaloupe arrived in terrible condition, cannot be sold.",Damaged Goods,low,SUP-5237,raspberries,Europe,ORD-994905
CMP-000043,2024-01-26 14:05:31,CUST-2390,social,Shipment ORD-801364 arrived with crushed boxes. Multiple pears units are unsellable.,Damaged Goods,medium,SUP-6111,cherries,Europe,ORD-801364
CMP-000044,2024-01-27 04:42:48,CUST-1102,web,Been waiting 9 days for update on order ORD-290556. This lack of communication is unprofessional.,Poor Communication,medium,SUP-8453,grapes,Asia,ORD-290556
CMP-000045,2024-01-27 19:20:04,CUST-1039,email,Documentation error on order ORD-593152. Invoice doesn't match packing list.,Documentation Error,medium,SUP-11874,organic apples,North America,ORD-593152
CMP-000046,2024-01-28 09:57:21,CUST-1488,app,Shipment ORD-259784 stuck in transit for 3 days. This is causing major disruptions to our supply chain.,Delivery Delay,high,SUP-12894,cantaloupe,North America,ORD-259784
CMP-000047,2024-01-29 00:34:37,CUST-2592,app,"Terrible communication regarding shipment ORD-220096. No tracking updates, no responses to calls.",Poor Communication,medium,SUP-6624,tomatoes,North America,ORD-220096
CMP-000048,2024-01-29 15:11:54,CUST-2701,app,No response to my emails about order ORD-824161. I've been trying to reach support for 6 days.,Poor Communication,low,SUP-10419,blueberries,Asia,ORD-824161
CMP-000049,2024-01-30 05:49:10,CUST-2326,web,Invoice ORD-630538 shows incorrect pricing. We were quoted $4266 but charged $5899.,Pricing Error,medium,SUP-6442,cantaloupe,North America,ORD-630538
CMP-000050,2024-01-30 20:26:27,CUST-1553,social,Shipment ORD-782054 stuck in transit for 13 days. This is causing major disruptions to our supply chain.,Delivery Delay,low,SUP-9668,garlic,North America,ORD-782054
CMP-000051,2024-01-31 11:03:43,CUST-1688,email,Shipment ORD-497399 stuck in transit for 7 days. This is causing major disruptions to our supply chain.,Delivery Delay,medium,SUP-10744,asparagus,Europe,ORD-497399
CMP-000052,2024-02-01 01:41:00,CUST-1020,app,Received order ORD-682789 with 51% of oranges damaged. Packaging was inadequate.,Damaged Goods,high,SUP-8671,peaches,Asia,ORD-682789
CMP-000053,2024-02-01 16:18:16,CUST-1602,app,Order ORD-197573 missing required quality certificates. Need these urgently for compliance.,Documentation Error,low,SUP-9508,avocados,Europe,ORD-197573
CMP-000054,2024-02-02 06:55:33,CUST-1929,web,Overcharged on shipment ORD-836996. Please review and issue credit for $2348.,Pricing Error,medium,SUP-6516,bananas,Asia,ORD-836996
CMP-000055,2024-02-02 21:32:49,CUST-1991,web,"Order ORD-874483 completely ruined. pineapples arrived in terrible condition, cannot be sold.",Damaged Goods,low,SUP-10800,potatoes,Asia,ORD-874483
CMP-000056,2024-02-03 12:10:06,CUST-1093,email,"Order ORD-387636 completely ruined. mangoes arrived in terrible condition, cannot be sold.",Damaged Goods,medium,SUP-7791,cucumbers,Asia,ORD-387636
CMP-000057,2024-02-04 02:47:22,CUST-2927,social,Delivery driver for order ORD-364742 was extremely rude and unprofessional.,Service Complaint,high,SUP-9610,mangoes,Asia,ORD-364742
CMP-000058,2024-02-04 17:24:38,CUST-1242,social,Incomplete delivery for ORD-360247. 38 cases of garlic are missing from the shipment.,Missing Items,high,SUP-8512,mangoes,North America,ORD-360247
CMP-000059,2024-02-05 08:01:55,CUST-1123,email,Order ORD-751194 contains lemons that are already showing signs of spoilage upon arrival.,Quality Issues,medium,SUP-5021,spinach,Europe,ORD-751194
CMP-000060,2024-02-05 22:39:11,CUST-2216,social,Documentation error on order ORD-822858. Invoice doesn't match packing list.,Documentation Error,medium,SUP-11453,peaches,North America,ORD-822858
CMP-000061,2024-02-06 13:16:28,CUST-2354,app,"Freshness issue with order ORD-718439. lettuce appear to be several days old, not fresh picked.",Quality Issues,critical,SUP-7519,garlic,North America,ORD-718439
CMP-000062,2024-02-07 03:53:44,CUST-2165,web,"Damaged goods in shipment ORD-964278. Temperature control appears to have failed, lettuce are spoiled.",Damaged Goods,medium,SUP-9899,fresh strawberries,Europe,ORD-964278
CMP-000063,2024-02-07 18:31:01,CUST-1660,web,Received order ORD-870214 with 68% of tomatoes damaged. Packaging was inadequate.,Damaged Goods,high,SUP-8854,carrots,North America,ORD-870214
CMP-000064,2024-02-08 09:08:17,CUST-2876,web,Order ORD-563711 contains onions that are already showing signs of spoilage upon arrival.,Quality Issues,critical,SUP-12026,cucumbers,Europe,ORD-563711
CMP-000065,2024-02-08 23:45:34,CUST-2420,social,Order ORD-531641 is severely delayed. We needed these limes by 2025-10-26 for our retail operations.,Delivery Delay,medium,SUP-8311,cherries,North America,ORD-531641
CMP-000066,2024-02-09 14:22:50,CUST-1002,social,Pricing error detected. Order ORD-964998 billed at $5785 instead of agreed $4121.,Pricing Error,low,SUP-7187,potatoes,Asia,ORD-964998
CMP-000067,2024-02-10 05:00:07,CUST-1897,social,My order #ORD-402020 was supposed to arrive on 2025-11-01 but it's now 12 days late. This is unacceptable for perishable goods.,Delivery Delay,medium,SUP-6840,pears,Asia,ORD-402020
CMP-000068,2024-02-10 19:37:23,CUST-2939,email,Poor service experience with shipment ORD-583863. Staff was unhelpful and dismissive.,Service Complaint,low,SUP-8741,potatoes,Asia,ORD-583863
CMP-000069,2024-02-11 10:14:40,CUST-1390,app,Invoice ORD-502219 shows incorrect pricing. We were quoted $2817 but charged $3916.,Pricing Error,medium,SUP-9808,onions,North America,ORD-502219
CMP-000070,2024-02-12 00:51:56,CUST-2772,app,"Damaged goods in shipment ORD-613425. Temperature control appears to have failed, potatoes are spoiled.",Damaged Goods,critical,SUP-12123,bananas,North America,ORD-613425
CMP-000071,2024-02-12 15:29:13,CUST-2171,social,Poor service experience with shipment ORD-350405. Staff was unhelpful and dismissive.,Service Complaint,low,SUP-11491,pears,North America,ORD-350405
CMP-000072,2024-02-13 06:06:29,CUST-2014,email,Billing discrepancy on order ORD-259493. The unit price for carrots doesn't match our contract.,Pricing Error,medium,SUP-10918,bell peppers,Europe,ORD-259493
CMP-000073,2024-02-13 20:43:46,CUST-2986,app,Received order ORD-786587 with 41% of broccoli damaged. Packaging was inadequate.,Damaged Goods,low,SUP-10524,cherries,North America,ORD-786587
CMP-000074,2024-02-14 11:21:02,CUST-2954,web,Order ORD-498468 missing items. Expected 220 but received only 90 cherries.,Missing Items,medium,SUP-5740,spinach,Asia,ORD-498468
CMP-000075,2024-02-15 01:58:18,CUST-2297,email,Shipment ORD-897305 stuck in transit for 13 days. This is causing major disruptions to our supply chain.,Delivery Delay,medium,SUP-8528,bell peppers,Asia,ORD-897305
CMP-000076,2024-02-15 16:35:35,CUST-1843,app,Paperwork for shipment ORD-656968 has wrong product codes. This is delaying our processing.,Documentation Error,low,SUP-7080,kale,Europe,ORD-656968
CMP-000077,2024-02-16 07:12:51,CUST-1019,social,Order ORD-799233 is severely delayed. We needed these limes by 2025-10-29 for our retail operations.,Delivery Delay,medium,SUP-10655,grapes,Europe,ORD-799233
CMP-000078,2024-02-16 21:50:08,CUST-1618,app,Unacceptable behavior from your team handling order ORD-986365. Need to speak with a manager.,Service Complaint,low,SUP-5179,pears,North America,ORD-986365
CMP-000079,2024-02-17 12:27:24,CUST-1562,email,Incomplete delivery for ORD-515032. 43 cases of cherries are missing from the shipment.,Missing Items,high,SUP-9973,peaches,Europe,ORD-515032
CMP-000080,2024-02-18 03:04:41,CUST-2303,app,"Order ORD-329642 completely ruined. grapes arrived in terrible condition, cannot be sold.",Damaged Goods,high,SUP-5273,onions,Europe,ORD-329642
CMP-000081,2024-02-18 17:41:57,CUST-1269,email,Quality issue with order ORD-867934. The avocados show signs of improper handling during transport.,Damaged Goods,high,SUP-11803,cucumbers,Europe,ORD-867934
CMP-000082,2024-02-19 08:19:14,CUST-2933,social,Received only partial order ORD-964749. Where are the remaining 9 cantaloupe?,Missing Items,medium,SUP-10524,raspberries,North America,ORD-964749
CMP-000083,2024-02-19 22:56:30,CUST-1184,social,My order #ORD-483542 was supposed to arrive on 2025-10-26 but it's now 10 days late. This is unacceptable for perishable goods.,Delivery Delay,high,SUP-10230,blueberries,Asia,ORD-483542
CMP-000084,2024-02-20 13:33:47,CUST-1478,social,Received order ORD-807617 with 78% of garlic damaged. Packaging was inadequate.,Damaged Goods,medium,SUP-12449,watermelons,Europe,ORD-807617
CMP-000085,2024-02-21 04:11:03,CUST-1836,email,"Delivery delay for shipment ORD-780776. Expected 2025-10-29, still not received. Our customers are waiting.",Delivery Delay,medium,SUP-8039,limes,North America,ORD-780776
CMP-000086,2024-02-21 18:48:20,CUST-2937,social,Incomplete delivery for ORD-830316. 31 cases of cantaloupe are missing from the shipment.,Missing Items,low,SUP-5268,watermelons,Europe,ORD-830316
CMP-000087,2024-02-22 09:25:36,CUST-1908,social,Billing discrepancy on order ORD-327823. The unit price for cherries doesn't match our contract.,Pricing Error,low,SUP-6554,lettuce,Europe,ORD-327823
CMP-000088,2024-02-23 00:02:53,CUST-2357,app,Incomplete delivery for ORD-196126. 13 cases of organic apples are missing from the shipment.,Missing Items,medium,SUP-6697,onions,Asia,ORD-196126
CMP-000089,2024-02-23 14:40:09,CUST-2781,app,Received only partial order ORD-952547. Where are the remaining 14 pineapples?,Missing Items,medium,SUP-10415,cherries,Asia,ORD-952547
CMP-000090,2024-02-24 05:17:26,CUST-1030,web,Poor service experience with shipment ORD-238205. Staff was unhelpful and dismissive.,Service Complaint,low,SUP-5520,broccoli,Europe,ORD-238205
CMP-000091,2024-02-24 19:54:42,CUST-1741,email,"Damaged goods in shipment ORD-915809. Temperature control appears to have failed, carrots are spoiled.",Damaged Goods,medium,SUP-5498,broccoli,Europe,ORD-915809
CMP-000092,2024-02-25 10:31:59,CUST-2405,email,Unacceptable behavior from your team handling order ORD-546980. Need to speak with a manager.,Service Complaint,high,SUP-10114,lemons,North America,ORD-546980
CMP-000093,2024-02-26 01:09:15,CUST-2458,web,"Damaged goods in shipment ORD-674993. Temperature control appears to have failed, garlic are spoiled.",Damaged Goods,high,SUP-11986,lemons,North America,ORD-674993
CMP-000094,2024-02-26 15:46:31,CUST-2129,app,"Freshness issue with order ORD-906315. kale appear to be several days old, not fresh picked.",Quality Issues,high,SUP-10448,grapes,Europe,ORD-906315
CMP-000095,2024-02-27 06:23:48,CUST-2406,social,Invoice ORD-260053 shows incorrect pricing. We were quoted $3552 but charged $5060.,Pricing Error,low,SUP-5491,onions,North America,ORD-260053
CMP-000096,2024-02-27 21:01:04,CUST-1675,email,Shipment ORD-688967 stuck in transit for 12 days. This is causing major disruptions to our supply chain.,Delivery Delay,high,SUP-9156,bananas,Asia,ORD-688967
CMP-000097,2024-02-28 11:38:21,CUST-1987,app,Missing certificates for order ORD-788637. Cannot clear customs without proper documentation.,Documentation Error,medium,SUP-11704,garlic,North America,ORD-788637
CMP-000098,2024-02-29 02:15:37,CUST-2316,email,"Order ORD-807764 completely ruined. limes arrived in terrible condition, cannot be sold.",Damaged Goods,medium,SUP-5050,cucumbers,Asia,ORD-807764
CMP-000099,2024-02-29 16:52:54,CUST-2346,social,No response to my emails about order ORD-693830. I've been trying to reach support for 2 days.,Poor Communication,high,SUP-8031,mangoes,North America,ORD-693830
CMP-000100,2024-03-01 07:30:10,CUST-2590,email,Missing certificates for order ORD-440140. Cannot clear customs without proper documentation.,Documentation Error,medium,SUP-8392,grapes,Asia,ORD-440140
CMP-000101,2024-03-01 22:07:27,CUST-2049,email,Received only partial order ORD-891615. Where are the remaining 48 spinach?,Missing Items,low,SUP-6806,raspberries,North America,ORD-891615
CMP-000102,2024-03-02 12:44:43,CUST-1015,app,Order ORD-157443 is severely delayed. We needed these bananas by 2025-10-27 for our retail operations.,Delivery Delay,high,SUP-8527,cucumbers,Asia,ORD-157443
CMP-000103,2024-03-03 03:22:00,CUST-2090,app,Incomplete delivery for ORD-498676. 30 cases of potatoes are missing from the shipment.,Missing Items,low,SUP-12062,avocados,North America,ORD-498676
CMP-000104,2024-03-03 17:59:16,CUST-2174,social,Shipment ORD-550137 stuck in transit for 3 days. This is causing major disruptions to our supply chain.,Delivery Delay,medium,SUP-5721,spinach,Asia,ORD-550137
CMP-000105,2024-03-04 08:36:33,CUST-1892,social,Critical delay on order ORD-355135. The tomatoes were time-sensitive and now may be unusable.,Delivery Delay,low,SUP-5934,carrots,North America,ORD-355135
CMP-000106,2024-03-04 23:13:49,CUST-2855,web,Received only partial order ORD-303322. Where are the remaining 11 cantaloupe?,Missing Items,medium,SUP-11227,pineapples,North America,ORD-303322
CMP-000107,2024-03-05 13:51:06,CUST-1362,social,Order ORD-179013 missing items. Expected 429 but received only 90 pineapples.,Missing Items,medium,SUP-7589,bell peppers,Europe,ORD-179013
CMP-000108,2024-03-06 04:28:22,CUST-1960,social,"Terrible communication regarding shipment ORD-171603. No tracking updates, no responses to calls.",Poor Communication,low,SUP-8020,pears,Europe,ORD-171603
CMP-000109,2024-03-06 19:05:39,CUST-2320,email,"Order ORD-180458 completely ruined. garlic arrived in terrible condition, cannot be sold.",Damaged Goods,high,SUP-9683,lemons,Asia,ORD-180458
CMP-000110,2024-03-07 09:42:55,CUST-2239,social,Incomplete delivery for ORD-437145. 26 cases of bell peppers are missing from the shipment.,Missing Items,high,SUP-7029,watermelons,Europe,ORD-437145
CMP-000111,2024-03-08 00:20:12,CUST-2073,app,Received only partial order ORD-560767. Where are the remaining 26 blueberries?,Missing Items,medium,SUP-7741,tomatoes,Europe,ORD-560767
CMP-000112,2024-03-08 14:57:28,CUST-2142,social,Order ORD-199096 is severely delayed. We needed these grapes by 2025-10-30 for our retail operations.,Delivery Delay,medium,SUP-12927,lemons,North America,ORD-199096
CMP-000113,2024-03-09 05:34:44,CUST-1802,app,"Order ORD-794299 completely ruined. watermelons arrived in terrible condition, cannot be sold.",Damaged Goods,medium,SUP-12758,cantaloupe,North America,ORD-794299
CMP-000114,2024-03-09 20:12:01,CUST-1191,social,Service quality is deteriorating. Multiple issues with order ORD-651963 and no one seems to care.,Service Complaint,medium,SUP-6269,tomatoes,Europe,ORD-651963
CMP-000115,2024-03-10 10:49:17,CUST-2614,email,Incorrect shipping documents for ORD-985447. Supplier name and details are wrong.,Documentation Error,medium,SUP-6329,cucumbers,North America,ORD-985447
CMP-000116,2024-03-11 01:26:34,CUST-2279,app,"Freshness issue with order ORD-908554. fresh strawberries appear to be several days old, not fresh picked.",Quality Issues,high,SUP-8677,oranges,North America,ORD-908554
CMP-000117,2024-03-11 16:03:50,CUST-1633,social,Shipment ORD-350786 short by 23 items. Packing list doesn't match actual delivery.,Missing Items,medium,SUP-11691,bananas,North America,ORD-350786
CMP-000118,2024-03-12 06:41:07,CUST-2787,web,My order #ORD-245121 was supposed to arrive on 2025-10-26 but it's now 9 days late. This is unacceptable for perishable goods.,Delivery Delay,high,SUP-6313,grapes,Europe,ORD-245121
CMP-000119,2024-03-12 21:18:23,CUST-1301,social,Received order ORD-638289 with 79% of oranges damaged. Packaging was inadequate.,Damaged Goods,low,SUP-8163,tomatoes,Europe,ORD-638289
CMP-000120,2024-03-13 11:55:40,CUST-1057,web,Order ORD-335445 is incomplete. Missing 14 units of pears.,Missing Items,medium,SUP-10702,pears,Asia,ORD-335445
CMP-000121,2024-03-14 02:32:56,CUST-2444,social,Unacceptable behavior from your team handling order ORD-895702. Need to speak with a manager.,Service Complaint,high,SUP-9323,spinach,Asia,ORD-895702
CMP-000122,2024-03-14 17:10:13,CUST-1590,app,Documentation error on order ORD-913875. Invoice doesn't match packing list.,Documentation Error,low,SUP-9888,potatoes,Asia,ORD-913875
CMP-000123,2024-03-15 07:47:29,CUST-2055,app,"Delivery delay for shipment ORD-762652. Expected 2025-10-27, still not received. Our customers are waiting.",Delivery Delay,high,SUP-5701,carrots,Europe,ORD-762652
CMP-000124,2024-03-15 22:24:46,CUST-2952,email,Pricing error detected. Order ORD-170966 billed at $786 instead of agreed $633.,Pricing Error,high,SUP-7824,oranges,North America,ORD-170966
CMP-000125,2024-03-16 13:02:02,CUST-2286,email,Service quality is deteriorating. Multiple issues with order ORD-789023 and no one seems to care.,Service Complaint,high,SUP-11802,pineapples,North America,ORD-789023
CMP-000126,2024-03-17 03:39:19,CUST-2424,social,Shipment ORD-587192 arrived with crushed boxes. Multiple peaches units are unsellable.,Damaged Goods,medium,SUP-12256,fresh strawberries,Europe,ORD-587192
CMP-000127,2024-03-17 18:16:35,CUST-2055,social,Quality control failure on order ORD-425138. broccoli are contaminated and cannot be sold.,Quality Issues,high,SUP-12092,lemons,Europe,ORD-425138
CMP-000128,2024-03-18 08:53:52,CUST-1254,web,Shipment ORD-386488 stuck in transit for 8 days. This is causing major disruptions to our supply chain.,Delivery Delay,medium,SUP-12571,peaches,North America,ORD-386488
CMP-000129,2024-03-18 23:31:08,CUST-2640,email,Unacceptable behavior from your team handling order ORD-379676. Need to speak with a manager.,Service Complaint,medium,SUP-7510,kale,North America,ORD-379676
CMP-000130,2024-03-19 14:08:25,CUST-1872,app,Order ORD-852524 missing items. Expected 414 but received only 77 blueberries.,Missing Items,low,SUP-12765,fresh strawberries,Asia,ORD-852524
CMP-000131,2024-03-20 04:45:41,CUST-2305,social,Received only partial order ORD-803787. Where are the remaining 6 carrots?,Missing Items,critical,SUP-6933,pineapples,North America,ORD-803787
CMP-000132,2024-03-20 19:22:57,CUST-1741,social,Critical delay on order ORD-484123. The fresh strawberries were time-sensitive and now may be unusable.,Delivery Delay,medium,SUP-6127,carrots,Europe,ORD-484123
CMP-000133,2024-03-21 10:00:14,CUST-1643,web,Paperwork for shipment ORD-517368 has wrong product codes. This is delaying our processing.,Documentation Error,medium,SUP-10767,kale,Asia,ORD-517368
CMP-000134,2024-03-22 00:37:30,CUST-1584,social,Shipment ORD-741599 short by 16 items. Packing list doesn't match actual delivery.,Missing Items,high,SUP-7618,limes,Europe,ORD-741599
CMP-000135,2024-03-22 15:14:47,CUST-1132,web,Quality issue with order ORD-844007. The cherries show signs of improper handling during transport.,Damaged Goods,medium,SUP-6137,oranges,Europe,ORD-844007
CMP-000136,2024-03-23 05:52:03,CUST-1739,web,"Freshness issue with order ORD-127560. peaches appear to be several days old, not fresh picked.",Quality Issues,critical,SUP-8921,carrots,Europe,ORD-127560
CMP-000137,2024-03-23 20:29:20,CUST-1838,email,Paperwork for shipment ORD-906527 has wrong product codes. This is delaying our processing.,Documentation Error,high,SUP-11391,potatoes,North America,ORD-906527
CMP-000138,2024-03-24 11:06:36,CUST-1372,app,Pricing error detected. Order ORD-716338 billed at $2244 instead of agreed $1826.,Pricing Error,medium,SUP-6847,blueberries,North America,ORD-716338
CMP-000139,2024-03-25 01:43:53,CUST-2732,email,Unacceptable quality for shipment ORD-397846. The bananas do not meet our quality standards.,Quality Issues,high,SUP-6381,onions,North America,ORD-397846
CMP-000140,2024-03-25 16:21:09,CUST-1350,web,Cannot get anyone to respond about order ORD-261684 delay. Very frustrated with the service.,Poor Communication,medium,SUP-9686,spinach,North America,ORD-261684
CMP-000141,2024-03-26 06:58:26,CUST-1062,social,Incorrect shipping documents for ORD-770030. Supplier name and details are wrong.,Documentation Error,low,SUP-5490,cucumbers,Europe,ORD-770030
CMP-000142,2024-03-26 21:35:42,CUST-1991,social,Shipment ORD-535810 arrived with crushed boxes. Multiple avocados units are unsellable.,Damaged Goods,low,SUP-11231,blueberries,North America,ORD-535810
CMP-000143,2024-03-27 12:12:59,CUST-1217,web,Shipment ORD-688933 short by 20 items. Packing list doesn't match actual delivery.,Missing Items,low,SUP-12079,garlic,Europe,ORD-688933
CMP-000144,2024-03-28 02:50:15,CUST-2971,app,Overcharged on shipment ORD-360330. Please review and issue credit for $1295.,Pricing Error,medium,SUP-9074,organic apples,Asia,ORD-360330
